id,author,author_id,author_thumbnail,text,like_count,reply_count,date,is_favorited
Ugz_kHBSec7Jlaw431R4AaABAg,@RDA-2400,UC01KbxC_nKl67hmArCi67rw,https://yt3.ggpht.com/lMU7Z7SyN3U0kEVWBOkmOnwvkCwKOUv3DAHW-mQgu_oGPrdhTOznvvOC2-q8TuJDELoCwkP5zA=s88-c-k-c0x00ffffff-no-rj,세부리 의사가 권사중 하나엿다니,0,0,2026-05-23 09:00:00,True
Ugx-y38AAXf3bz3zNgN4AaABAg,@kolleh802,UCFoH79UVeyfIk1kZKNoBarw,https://yt3.ggpht.com/ytc/AIdro_nK0pTtzMlfN-4R7vYvVIaHktVOtj1kEu_pNE1L3p4=s88-c-k-c0x00ffffff-no-rj,근데 까마귀 의사 우리가 잡은거 들키면 어떻게되는거임,0,0,2026-05-23 09:00:00,False
UgzT_T-h3b2bTgRuSIB4AaABAg,@톰톰로빈1,UCni4grfkjT6J3y-EPF0eZaA,https://yt3.ggpht.com/h0BL5DKOMd9UjOwA5L2tn8tnGh5Q8MeU7U8Znq19UFXxHhILrCT49Fw1tivGY2F389ds_3CWUQ=s88-c-k-c0x00ffffff-no-rj,"아 미지여,  무릎꿇고 빌어도 얻지못할  미지여...   영상 잘보고갑니다",0,0,2026-05-23 09:00:00,False
UgxXDch8dgiAl9Vxk0F4AaABAg,@hjmanstein,UCH8ir_EIWVi0DZ6AVq0228w,https://yt3.ggpht.com/ytc/AIdro_mgVGXGse5XIwJAdAWS-V9ybseOsGNRdWtvwNI4GW4WhK8=s88-c-k-c0x00ffffff-no-rj,알라가다 시즌 2입니까!!!!,0,0,2026-05-23 09:00:00,False
UgygLS7muf8ApZigrgl4AaABAg,@dlagytjs,UCarmC0HdiLl6Ug7piEzOmEA,https://yt3.ggpht.com/ytc/AIdro_mhhjoLWRRK8z-2Tvvf2q-2mM3guGX3lMOqNdhe0Yi3j-Hh=s88-c-k-c0x00ffffff-no-rj,영화네 😮,0,0,2026-05-23 09:00:00,False
UgwiL-AuQy5lMAoe5-F4AaABAg,@dooboorlacl,UC_ALybDSXAXUgDnknc1huRQ,https://yt3.ggpht.com/SsOSkMPTYD-YoYbrXTV0Q_VSkWICLUWzkV4PK75t0OdeXbc_6eRC0CFEmqiCq6G34hneOoCAhA=s88-c-k-c0x00ffffff-no-rj,6:56 끌끌대며...,0,0,2026-05-23 09:00:00,False
UgwPdHMeZwyQhpEKVPR4AaABAg,@춘향추냥,UCOclpQBnpPiECl57Rfb-tYQ,https://yt3.ggpht.com/iUiCSv-LoqetgXbG5b52LxSrHUUacsALNyxneIhBwhTQTh3O54-scWK1Dg-7DJUUZnIO79nQtw=s88-c-k-c0x00ffffff-no-rj,"이게 진짜 왜케 재밋지, 지금것 영상중 가장 잼남..",0,0,2026-05-23 09:00:00,False
UgysYRsb6VWZtwFV3sR4AaABAg,@J_SHADY,UCqntAsV9Q6rRC9ArBN-3jzA,https://yt3.ggpht.com/zJtvGBJBjXyfgqO1IRWfHlzIzx-mwUL0gIYHvEMpZlFHCAGYgYPZgGJGmDIhgszgX_obwd7p5A=s88-c-k-c0x00ffffff-no-rj,헐... 이게 그렇게 이어지는거냐고 헐,0,0,2026-05-23 09:00:00,False
UgxMIbapyBhXlfIVx3h4AaABAg,@안녕..일본인들,UChZ8GPhUU_uY1L9hOmgBT1Q,https://yt3.ggpht.com/XaIoN8bGGcodDh43uKWrsVeYtaXDJKLYU-WWYS2hNOwz-o5WHfRdKLOrJFTMBJprEy053IbOTg=s88-c-k-c0x00ffffff-no-rj,"가룟 유다...
.
 예수님을...팔았어...
.
     금화 ..
.
유다...마지막엔...목을 메달았지..
.
.    배신자...제자..
.
   가룟 유다
..",0,0,2026-05-23 09:00:00,False
Ugw7OsscLXrulCQ_cIV4AaABAg,@buzzkill-f7p,UCvqf7oYF2RlAt4aGzyltSDQ,https://yt3.ggpht.com/ytc/AIdro_mpFau04g7lpf3j1Idi_VL4kYNkmRGco0gPXutarM5aqrp-0ikLVrEKPxAWjk4ALu40mw=s88-c-k-c0x00ffffff-no-rj,뭔 소린지 모르겠어요,0,0,2026-05-23 09:00:00,False
